id;vreemdeling_id;vnummer;burgerservicenummer
1;Practical backing up Lights;Taka;Delaware
2;e-commerce;online turquoise action-items;Synergized Avon concept
3;pricing structure Boliviano Mvdol Rustic;back up Illinois Universal;Incredible Granite Keyboard JBOD Security
4;Gloves Metal Iowa;calculate Shirt;Sleek
5;Steel;Berkshire;Pass View Regional
6;Connecticut;payment Monitored Re-engineered;Central Functionality
7;Fantastic;Cambridgeshire Data Applications;US Dollar Rubber
8;SMS;Direct Generic Concrete Ball;Health Grocery
9;Tennessee;HDD mission-critical matrix;Auto Loan Account Salad Rubber
10;Incredible;mindshare primary Savings Account;Progressive Computers Virginia
